scyzoryk pocketknife
swat matchmaker
serb serbian
sterowiec airship
sanki sled
stojak stand
szyba glass
szyfr cipher
salon livingroom
szala shawl
sluch hearing
szatnia dressingroom
skorupa shell
supel knot
slup pole
strumien stream
skanowac scan
solenizant birthdayboy
stos stack
synchronizator synchronizer
ser cheese
spodek saucer
skraplac condense
spektator spectator
sierpien august
sosna pine
siekiera axe
szczotka brush
sprawdzac check
sandaly sandals
stan state
subiektywny subjective
szewc shoemaker
smok dragon
szparag asparagus
